Original Header:
Sensor Name: MAX30100
Cow ID: 129
I2CAddress: 0x57
Sampling frequency: 25 Hz
Data Format: 
	IR_0, RED_0, T_0, t0
	IR_1, RED_1, T_1, t1
	...
	...
	...
	IR_n, RED_n, T_n, tn
	Where IR is the MAX30100's infared count expressed as an unsigned short. (16-bit) RED is the MAX30100's RED count expressed as an unsigned short. T is the MAX30100's temperature expressed as a 32-bit float. The value is in degrees C. t is the time that the data point was taken in seconds, from the epoch. It is a double precision float. (64-bit) Each data point consists of this 3 value plus a timestamp, sequentially written to file. 
!@#

CSV Header:
The time is in seconds, subtracting off the startTime.
!@#
7240, 8200, 26.2, 18.440063
7268, 8204, 26.2, 18.480072
7292, 8232, 26.2, 18.520019
7260, 8200, 26.2, 18.560211
7260, 8196, 26.3, 18.605774
7272, 8208, 26.3, 18.640014
7280, 8228, 26.3, 18.680053
7280, 8212, 26.3, 18.720093
7256, 8188, 26.3, 18.760132
7276, 8220, 26.3, 18.800140
7260, 8208, 26.3, 18.841369
7264, 8204, 26.3, 18.880188
7260, 8200, 26.3, 18.920105
7276, 8224, 26.3, 18.960296
7264, 8208, 26.3, 19.195282
7252, 8192, 26.3, 19.232147
7268, 8204, 26.3, 19.272064
7276, 8212, 26.3, 19.312225
7256, 8204, 26.3, 19.352295
7264, 8192, 26.3, 19.392029
7268, 8220, 26.3, 19.432312
7256, 8204, 26.3, 19.472351
7268, 8188, 26.3, 19.512054
7268, 8220, 26.3, 19.552185
7264, 8208, 26.3, 19.592163
7252, 8204, 26.3, 19.632446
7276, 8224, 26.3, 19.672241
7268, 8216, 26.3, 19.712127
7268, 8188, 26.3, 19.752044
7276, 8204, 25.7, 19.797638
7264, 8208, 25.7, 19.832123
7256, 8192, 25.7, 19.872131
7268, 8200, 25.7, 19.912079
7260, 8208, 25.7, 19.952057
7256, 8208, 25.7, 19.992218
7264, 8212, 25.7, 20.032409
7252, 8200, 25.7, 20.072082
7280, 8204, 25.7, 20.112091
7280, 8212, 25.7, 20.152282
7256, 8200, 25.7, 20.192047
7268, 8204, 25.7, 20.232086
7260, 8208, 25.7, 20.272125
7252, 8196, 25.7, 20.312378
7268, 8204, 25.7, 20.352112
7276, 8212, 25.7, 20.392181
7252, 8200, 25.7, 20.432251
7256, 8188, 25.7, 20.472168
7268, 8192, 25.7, 20.512085
7264, 8216, 25.7, 20.552124
7256, 8200, 25.7, 20.592102
7252, 8188, 25.7, 20.632110
7272, 8224, 25.7, 20.672119
7256, 8196, 25.7, 20.712158
7264, 8172, 25.7, 20.752136
7280, 8212, 26.3, 20.797607
7248, 8200, 26.3, 20.832123
7264, 8212, 26.3, 20.872375
7268, 8188, 26.3, 20.912323
7260, 8212, 26.3, 20.952209
7268, 8208, 26.3, 20.992279
7248, 8196, 26.3, 21.032104
7256, 8184, 26.3, 21.072052
7288, 8208, 26.3, 21.112060
7248, 8208, 26.3, 21.152069
7244, 8196, 26.3, 21.192077
7268, 8216, 26.3, 21.232086
7268, 8224, 26.3, 21.272217
7256, 8200, 26.3, 21.312225
7252, 8196, 26.3, 21.352264
7260, 8204, 26.3, 21.392181
7252, 8200, 26.3, 21.432281
7264, 8200, 26.3, 21.472107
7256, 8208, 26.3, 21.512207
7260, 8192, 26.3, 21.552124
7256, 8212, 26.3, 21.592254
7236, 8204, 26.3, 21.632141
7276, 8212, 26.3, 21.672241
7256, 8216, 26.3, 21.712066
7256, 8196, 26.3, 21.752136
7276, 8208, 25.6, 21.797638
7268, 8220, 25.6, 21.832123
7248, 8208, 25.6, 21.872131
7248, 8192, 25.6, 21.911987
7264, 8220, 25.6, 21.952118
7252, 8192, 25.6, 21.992279
7256, 8184, 25.6, 22.032135
7264, 8212, 25.6, 22.072143
7268, 8212, 25.6, 22.112121
7256, 8196, 25.6, 22.152527
7260, 8204, 25.6, 22.192077
7268, 8208, 25.6, 22.232055
7260, 8212, 25.6, 22.272155
7256, 8208, 25.6, 22.312256
7264, 8196, 25.6, 22.352264
7264, 8212, 25.6, 22.392120
7244, 8192, 25.6, 22.432098
7264, 8200, 25.6, 22.472076
7256, 8208, 25.6, 22.512146
7260, 8192, 25.6, 22.552276
7264, 8204, 25.6, 22.592102
7252, 8196, 25.6, 22.632080
7252, 8200, 25.6, 22.672088
7268, 8200, 25.6, 22.712127
7260, 8204, 25.6, 22.752075
7256, 8196, 26.0, 22.797394
