Original Header:

Name: AdcIn_Ch5
This is using channel 5 on the onboard ADC.
The first value is a voltage in mV, and the second value is a time in seconds from epoch.
!@#

CSV Header:

The voltages are now in volts.
The time is in seconds, subtracting off the startTime.
!@#
0.065, 20.959778
0.070, 20.976319
0.065, 20.993134
0.078, 21.009705
0.065, 21.026215
0.070, 21.043152
0.083, 21.059815
0.065, 21.076416
0.070, 21.093140
0.063, 21.109681
0.075, 21.126374
0.073, 21.143189
0.070, 21.159699
0.053, 21.176453
0.063, 21.193116
0.085, 21.209809
0.068, 21.226349
0.070, 21.243256
0.078, 21.259644
0.061, 21.276337
0.065, 21.293244
0.073, 21.309662
0.073, 21.326477
0.073, 21.343110
0.063, 21.359742
0.068, 21.376435
0.065, 21.393219
0.075, 21.409699
0.080, 21.426453
0.070, 21.443451
0.051, 21.459748
0.065, 21.476380
0.068, 21.493164
0.061, 21.509736
0.078, 21.526429
0.063, 21.543274
0.070, 21.559662
0.075, 21.576447
0.068, 21.593110
0.080, 21.609681
0.068, 21.626343
0.070, 21.643097
0.073, 21.659699
0.068, 21.676453
0.070, 21.693146
0.065, 21.709595
0.073, 21.726349
0.068, 21.743348
0.065, 21.759583
0.070, 21.776307
0.070, 21.793183
0.073, 21.809815
0.075, 21.826325
0.070, 21.843110
0.078, 21.859803
0.070, 21.876252
0.073, 21.893219
0.061, 21.909760
0.078, 21.926362
0.073, 21.943177
0.065, 21.959626
0.048, 21.976532
0.065, 21.993226
0.075, 22.009766
0.065, 22.026337
0.063, 22.043274
0.080, 22.059815
0.063, 22.076294
0.073, 22.093079
0.070, 22.109589
0.070, 22.126374
0.070, 22.143128
0.070, 22.159699
0.070, 22.176362
0.073, 22.193177
0.068, 22.209748
0.078, 22.226380
0.068, 22.243103
0.073, 22.259705
0.063, 22.276368
0.075, 22.293122
0.063, 22.309754
0.068, 22.326477
0.073, 22.343354
0.061, 22.359772
