Original Header:

Sensor Name: MCP9808_N2
Cow ID: 129
I2CAddress: 0x19
Sampling frequency: 1 Hz
Data Format: 
	T_0, t0
	T_1, t1
	...
	...
	...
	T_n, tn
	Where T is the temperature in single precision float format (32-bit). t is the time that the data point was taken in seconds, from the epoch. It is a double precision float. (64-bit) Each data point consists of a temperature and a timestamp, sequentially written to file. !@#

CSV Header:

The time is in seconds, subtracting off the startTime.
!@#
22.812, 837.999054
22.688, 839.013061
22.750, 840.013763
22.750, 841.013641
22.750, 842.013427
22.688, 843.013000
22.812, 844.001281
22.750, 845.001373
22.750, 846.001495
22.750, 847.001129
22.812, 848.001343
22.812, 849.008758
22.750, 850.008880
22.750, 851.009277
22.812, 852.009063
22.750, 853.008911
22.812, 854.010498
22.812, 855.010742
22.875, 856.011535
22.812, 857.010681
22.812, 858.010620
22.812, 859.010589
22.750, 860.010467
22.812, 861.009948
22.812, 862.010162
22.812, 863.009796
22.875, 863.992004
22.812, 864.992187
22.812, 865.991943
22.812, 866.992065
22.875, 867.991943
22.875, 868.995483
22.875, 869.996948
22.875, 870.996978
22.875, 871.996948
22.875, 872.997375
22.938, 873.996856
22.875, 874.996643
22.875, 875.997040
22.938, 876.997070
22.938, 877.996948
22.938, 879.008270
22.938, 880.008941
22.938, 881.008911
22.938, 882.007629
22.938, 883.007415
22.938, 884.012481
22.938, 885.011688
22.938, 886.011841
22.938, 887.012512
22.938, 888.012512
22.938, 889.012603
22.938, 890.012420
23.000, 891.012451
22.938, 892.012298
23.000, 893.021332
23.000, 894.012359
23.000, 895.012481
23.062, 896.012268
23.000, 897.013611
23.062, 898.013153
23.000, 899.012329
23.000, 900.012512
23.000, 901.012512
23.000, 902.012634
23.000, 903.014007
23.062, 904.016113
23.062, 905.015503
23.062, 906.015686
23.062, 907.013885
23.062, 908.016296
23.062, 908.992004
23.062, 909.991974
23.062, 910.991943
23.062, 911.991943
23.062, 912.991943
23.062, 913.992187
23.062, 914.992035
23.125, 915.992157
23.125, 916.991913
23.125, 917.991943
23.062, 918.991974
23.125, 919.992248
23.125, 920.992279
23.125, 921.992279
23.062, 922.992096
23.125, 923.999664
23.125, 924.999695
23.125, 926.001892
23.125, 927.001404
23.125, 928.001343
23.125, 928.994995
23.125, 929.994384
23.125, 930.994903
23.125, 931.994690
23.188, 932.993957
23.125, 933.992187
23.125, 934.992218
23.125, 935.992126
23.188, 936.992004
23.125, 937.992096
23.188, 939.004455
23.188, 940.004364
23.125, 941.002136
23.125, 942.002166
23.188, 943.004394
23.188, 944.009430
23.188, 945.009002
23.188, 946.008819
23.250, 947.008911
23.125, 948.009094
23.188, 949.001404
23.188, 949.999817
23.188, 951.001068
23.188, 952.001129
23.188, 953.001648
23.250, 954.007721
23.188, 955.006134
23.250, 956.006225
23.250, 957.006225
23.250, 958.006775
23.188, 959.016571
23.188, 960.016388
23.250, 961.015930
23.250, 962.016174
23.188, 963.016784
23.250, 964.016754
23.250, 965.016174
23.250, 966.016388
23.250, 967.015899
23.250, 968.016082
23.250, 968.997925
23.250, 969.997314
23.250, 970.997314
23.250, 971.997680
23.250, 972.997925
23.250, 974.012695
23.250, 975.012329
23.188, 976.013946
23.250, 977.013275
23.188, 978.012329
23.250, 978.992614
23.250, 979.993103
23.250, 980.992889
23.250, 981.992737
23.250, 982.993896
23.250, 984.017883
23.250, 985.016388
23.250, 986.016296
23.250, 987.017395
23.250, 988.016510
23.250, 989.016723
23.250, 990.016113
23.250, 991.016113
23.250, 992.016144
23.250, 993.018188
23.250, 994.001953
23.250, 995.004394
23.250, 996.002166
23.250, 997.004455
23.250, 998.001709
23.250, 999.013855
23.312, 1000.013885
23.250, 1001.014068
23.250, 1002.013916
23.250, 1003.013519
23.250, 1003.992126
23.250, 1004.992035
23.250, 1005.991943
23.250, 1006.991913
23.188, 1007.991913
23.250, 1009.000427
23.188, 1009.999847
23.250, 1010.999969
23.250, 1011.999786
23.250, 1012.999756
23.250, 1013.992096
23.250, 1014.991974
23.250, 1015.991943
23.250, 1016.992065
23.312, 1017.992126
23.250, 1018.991943
23.250, 1019.991943
23.250, 1020.991913
23.312, 1021.992248
23.250, 1022.992248
23.250, 1023.999511
23.375, 1024.999878
23.312, 1025.999878
23.250, 1027.000091
23.312, 1027.999939
23.250, 1029.011841
23.312, 1030.011780
23.312, 1031.011352
23.312, 1032.011871
23.312, 1033.012848
23.312, 1033.992859
23.312, 1034.992889
23.312, 1035.995086
23.312, 1036.992309
23.312, 1037.994415
23.312, 1038.993591
23.312, 1039.994903
23.375, 1040.992401
23.312, 1041.992798
23.375, 1042.993103
23.312, 1043.995453
23.375, 1044.994934
23.312, 1045.995422
23.375, 1046.995758
23.312, 1047.995788
23.375, 1048.999145
23.375, 1049.999847
23.375, 1050.999725
23.375, 1051.999908
23.375, 1052.999603
23.375, 1053.999634
23.375, 1054.999847
23.375, 1055.999908
23.375, 1056.999542
23.375, 1058.000183
23.375, 1058.992096
23.375, 1059.991913
23.438, 1060.991913
23.375, 1061.991913
23.375, 1062.992248
23.375, 1064.000030
23.375, 1065.000793
23.375, 1065.999756
23.375, 1066.999725
23.375, 1067.999908
23.438, 1069.006378
23.438, 1070.005798
23.438, 1071.005798
23.438, 1072.005798
23.438, 1073.005890
23.375, 1074.022766
23.375, 1075.023773
23.375, 1076.022674
23.438, 1077.022918
23.438, 1078.022522
23.438, 1078.991943
23.375, 1079.991913
23.438, 1080.991943
23.375, 1081.991974
23.438, 1082.991974
23.375, 1083.992340
23.438, 1084.991943
23.375, 1085.991913
23.438, 1086.991943
23.375, 1087.991913
23.438, 1088.991943
23.375, 1089.991913
23.438, 1090.991943
23.375, 1091.992065
23.375, 1092.991913
23.438, 1094.007446
23.375, 1095.006866
23.438, 1096.007324
23.375, 1097.007660
23.438, 1098.007263
23.438, 1098.992096
23.438, 1099.992096
23.438, 1100.991974
23.375, 1101.992370
23.438, 1102.991943
23.375, 1103.992126
23.438, 1104.991913
23.438, 1105.991974
23.375, 1106.992096
23.438, 1107.992218
23.375, 1109.009948
23.438, 1110.010009
23.438, 1111.009796
23.438, 1112.009918
23.375, 1113.010681
23.438, 1113.999664
23.438, 1114.999817
23.438, 1115.999847
23.438, 1116.999786
23.438, 1117.999939
23.438, 1119.009460
23.438, 1120.011566
23.438, 1121.012542
23.438, 1122.012207
23.500, 1123.011963
23.438, 1123.991699
23.500, 1124.992065
23.500, 1125.991913
23.438, 1126.992004
23.438, 1127.992065
23.438, 1129.006988
23.438, 1129.999908
23.438, 1130.999847
23.500, 1131.999939
23.438, 1132.999756
23.500, 1133.993072
23.500, 1134.992889
23.438, 1135.992584
23.438, 1136.992401
23.500, 1137.992401
23.438, 1138.991974
23.500, 1139.992065
23.500, 1140.992096
23.500, 1141.992065
23.500, 1142.991913
23.500, 1143.991943
23.500, 1144.992248
23.500, 1145.992218
23.500, 1146.992096
23.500, 1147.992126
23.500, 1148.991638
23.500, 1149.992096
23.500, 1150.992218
23.562, 1151.992157
23.500, 1152.991943
23.500, 1154.015075
23.562, 1155.015472
23.500, 1156.014221
23.500, 1157.013885
23.500, 1158.014038
23.562, 1159.017822
23.500, 1160.016479
23.500, 1161.016510
23.500, 1162.015930
23.562, 1163.016540
23.562, 1163.992096
23.562, 1164.992096
23.500, 1165.992096
23.562, 1166.991882
23.500, 1167.991913
23.562, 1169.007415
23.562, 1170.007354
23.562, 1171.007415
23.562, 1172.006805
23.562, 1173.006225
23.562, 1173.992889
23.562, 1174.992492
23.562, 1175.992889
23.562, 1176.993652
23.562, 1177.993072
23.562, 1178.991913
23.562, 1179.992157
23.562, 1180.991943
23.500, 1181.992004
23.562, 1182.992126
23.562, 1184.026916
23.562, 1184.991913
23.562, 1185.991943
23.562, 1186.992340
23.562, 1187.991913
23.562, 1189.035125
23.562, 1189.997223
23.625, 1190.997162
23.562, 1191.997223
23.562, 1192.997131
23.625, 1193.991943
23.625, 1194.992004
23.625, 1195.991913
23.562, 1196.991882
23.625, 1197.991882
23.562, 1199.004669
23.625, 1200.002166
23.562, 1201.002105
23.625, 1202.002136
23.625, 1203.002136
