volt, time
0.591, 1468260568.028411
0.586, 1468260568.030120
0.564, 1468260568.031768
0.557, 1468260568.033294
0.542, 1468260568.035064
0.537, 1468260568.036682
0.530, 1468260568.038208
0.537, 1468260568.039733
0.540, 1468260568.041259
0.530, 1468260568.042785
0.532, 1468260568.044281
0.566, 1468260568.049713
0.540, 1468260568.052093
0.540, 1468260568.054443
0.549, 1468260568.057708
0.557, 1468260568.060028
0.544, 1468260568.062377
0.562, 1468260568.066680
0.579, 1468260568.071960
0.584, 1468260568.073730
0.574, 1468260568.075592
0.564, 1468260568.077209
0.549, 1468260568.078765
0.542, 1468260568.080291
0.540, 1468260568.081817
0.540, 1468260568.083343
0.525, 1468260568.087615
0.574, 1468260568.090087
0.547, 1468260568.092529
0.540, 1468260568.095672
0.557, 1468260568.098266
0.576, 1468260568.100646
0.549, 1468260568.103485
0.579, 1468260568.107086
0.586, 1468260568.109588
0.562, 1468260568.111206
0.549, 1468260568.112762
0.547, 1468260568.114318
0.537, 1468260568.116088
0.535, 1468260568.117675
0.535, 1468260568.119201
0.532, 1468260568.120727
0.522, 1468260568.122222
0.532, 1468260568.123748
0.540, 1468260568.127838
0.544, 1468260568.130249
0.562, 1468260568.132568
0.559, 1468260568.135681
0.540, 1468260568.138153
0.576, 1468260568.140502
0.566, 1468260568.143463
0.576, 1468260568.146820
0.584, 1468260568.149780
0.557, 1468260568.151428
0.552, 1468260568.153015
0.549, 1468260568.154541
0.544, 1468260568.156311
0.535, 1468260568.157897
0.537, 1468260568.159454
0.542, 1468260568.160949
0.527, 1468260568.162475
0.530, 1468260568.164001
0.525, 1468260568.167724
0.552, 1468260568.172119
0.586, 1468260568.175476
0.576, 1468260568.177947
0.571, 1468260568.179840
0.540, 1468260568.182128
0.579, 1468260568.186431
0.579, 1468260568.189300
0.579, 1468260568.190948
0.564, 1468260568.192504
0.552, 1468260568.194152
0.544, 1468260568.195983
0.547, 1468260568.197540
0.537, 1468260568.199096
0.527, 1468260568.200622
0.525, 1468260568.202148
0.530, 1468260568.203674
0.527, 1468260568.207214
0.540, 1468260568.209686
0.542, 1468260568.212066
0.544, 1468260568.213806
0.571, 1468260568.217132
0.559, 1468260568.219482
0.530, 1468260568.221771
0.559, 1468260568.225372
0.588, 1468260568.228942
0.579, 1468260568.230651
0.562, 1468260568.232238
0.547, 1468260568.233795
0.537, 1468260568.235565
